"month","date","State","Expected","Population","Observed","monthlyxs","sumxs","correctedpopulation","irxsuncorrected","irxscorrected","expcorr","xscorrMO","irxscorr"
201506,2015-06-01,"Delaware",660,942065,660,0,0,942065,0,0,660,0,0
201506,2015-06-01,"District of Columbia",383,677014,383,0,0,677014,0,0,383,0,0
201506,2015-06-01,"Florida",15204,20219111,15204,0,0,20219111,0,0,15204,1.81898940354586e-12,8.9963866539229e-15
201506,2015-06-01,"Georgia",6255,10183353,6255,0,0,10183353,0,0,6255,0,0
201506,2015-06-01,"Hawaii",924,1422999,924,0,0,1422999,0,0,924,0,0
201506,2015-06-01,"Idaho",1013,1652495,1013,0,0,1652495,0,0,1013,1.13686837721616e-13,6.87970842402646e-15
201506,2015-06-01,"Illinois",8259,12859585,8259,0,0,12859585,0,0,8259,0,0
201506,2015-06-01,"Indiana",4726,6611442,4726,0,0,6611442,0,0,4726,0,0
201506,2015-06-01,"Iowa",2313,3122541,2313,0,0,3122541,0,0,2313,0,0
201506,2015-06-01,"Kansas",2138,2910717,2138,0,0,2910717,0,0,2138,0,0
201506,2015-06-01,"Kentucky",3561,4429126,3561,0,0,4429126,0,0,3561,4.54747350886464e-13,1.02672028496472e-14
201506,2015-06-01,"Louisiana",3438,4666998,3438,0,0,4666998,0,0,3438,0,0
